Freq.	V(vout)
1.19949930314938e+000	(-1.91044696386715e-003dB,-3.89417649919615e-004°)
1.20226443461741e+000	(-1.91044586260504e-003dB,-3.90315350343037e-004°)
1.20503594037179e+000	(-1.91044475622604e-003dB,-3.91215120220308e-004°)
1.20781383510678e+000	(-1.91044364476006e-003dB,-3.92116964242536e-004°)
1.21059813355048e+000	(-1.91044252817913e-003dB,-3.93020887219564e-004°)
1.21338885046497e+000	(-1.91044140641283e-003dB,-3.93926894014855e-004°)
1.21618600064636e+000	(-1.91044027948721e-003dB,-3.94834989302856e-004°)
1.21898959892486e+000	(-1.91043914736851e-003dB,-3.95745177979210e-004°)
1.22179966016487e+000	(-1.91043801002008e-003dB,-3.96657464876029e-004°)
1.22461619926504e+000	(-1.91043686741877e-003dB,-3.97571854796040e-004°)
1.22743923115840e+000	(-1.91043571954431e-003dB,-3.98488352621411e-004°)
1.23026877081238e+000	(-1.91043456634753e-003dB,-3.99406963200153e-004°)
1.23310483322890e+000	(-1.91043340785542e-003dB,-4.00327691404513e-004°)
1.23594743344451e+000	(-1.91043224401398e-003dB,-4.01250542025331e-004°)
1.23879658653036e+000	(-1.91043107478944e-003dB,-4.02175520136210e-004°)
1.24165230759241e+000	(-1.91042990018471e-003dB,-4.03102630488688e-004°)
1.24451461177138e+000	(-1.91042872013611e-003dB,-4.04031878060272e-004°)
1.24738351424294e+000	(-1.91042753464943e-003dB,-4.04963267769705e-004°)
1.25025903021771e+000	(-1.91042634370732e-003dB,-4.05896804590934e-004°)
1.25314117494141e+000	(-1.91042514723454e-003dB,-4.06832493380759e-004°)
1.25602996369487e+000	(-1.91042394523688e-003dB,-4.07770339195745e-004°)
1.25892541179416e+000	(-1.91042273772205e-003dB,-4.08710346939565e-004°)
1.26182753459066e+000	(-1.91042152461868e-003dB,-4.09652521624714e-004°)
1.26473634747115e+000	(-1.91042030594702e-003dB,-4.10596868270044e-004°)
1.26765186585784e+000	(-1.91041908158169e-003dB,-4.11543391881312e-004°)
1.27057410520854e+000	(-1.91041785164710e-003dB,-4.12492097389224e-004°)
1.27350308101666e+000	(-1.91041661600244e-003dB,-4.13442989878973e-004°)
1.27643880881134e+000	(-1.91041537464096e-003dB,-4.14396074443702e-004°)
1.27938130415752e+000	(-1.91041412754914e-003dB,-4.15351356126120e-004°)
1.28233058265602e+000	(-1.91041287470481e-003dB,-4.16308839949095e-004°)
1.28528665994361e+000	(-1.91041161609061e-003dB,-4.17268530989110e-004°)
1.28824955169313e+000	(-1.91041035163997e-003dB,-4.18230434356803e-004°)
1.29121927361353e+000	(-1.91040908136159e-003dB,-4.19194555107227e-004°)
1.29419584144998e+000	(-1.91040780524871e-003dB,-4.20160898418944e-004°)
1.29717927098395e+000	(-1.91040652321163e-003dB,-4.21129469337088e-004°)
1.30016957803328e+000	(-1.91040523528603e-003dB,-4.22100273070816e-004°)
1.30316677845229e+000	(-1.91040394139090e-003dB,-4.23073314760981e-004°)
1.30617088813183e+000	(-1.91040264153298e-003dB,-4.24048599543286e-004°)
1.30918192299940e+000	(-1.91040133568238e-003dB,-4.25026132519279e-004°)
1.31219989901920e+000	(-1.91040002378894e-003dB,-4.26005919024432e-004°)
1.31522483219223e+000	(-1.91039870584108e-003dB,-4.26987964153556e-004°)
1.31825673855640e+000	(-1.91039738181566e-003dB,-4.27972273084079e-004°)
1.32129563418657e+000	(-1.91039605168664e-003dB,-4.28958851128450e-004°)
1.32434153519466e+000	(-1.91039471539710e-003dB,-4.29947703439489e-004°)
1.32739445772973e+000	(-1.91039337295476e-003dB,-4.30938835324494e-004°)
1.33045441797808e+000	(-1.91039202432490e-003dB,-4.31932252001031e-004°)
1.33352143216332e+000	(-1.91039066945543e-003dB,-4.32927958719227e-004°)
1.33659551654643e+000	(-1.91038930833189e-003dB,-4.33925960810237e-004°)
1.33967668742593e+000	(-1.91038794093209e-003dB,-4.34926263488067e-004°)
1.34276496113786e+000	(-1.91038656721938e-003dB,-4.35928872106514e-004°)
1.34586035405594e+000	(-1.91038518717254e-003dB,-4.36933791981664e-004°)
1.34896288259164e+000	(-1.91038380072887e-003dB,-4.37941028480037e-004°)
1.35207256319427e+000	(-1.91038240792696e-003dB,-4.38950586855773e-004°)
1.35518941235103e+000	(-1.91038100868289e-003dB,-4.39962472528630e-004°)
1.35831344658715e+000	(-1.91037960296965e-003dB,-4.40976690829007e-004°)
1.36144468246594e+000	(-1.91037819076313e-003dB,-4.41993247135767e-004°)
1.36458313658892e+000	(-1.91037677203440e-003dB,-4.43012146847236e-004°)
1.36772882559584e+000	(-1.91037534677476e-003dB,-4.44033395387562e-004°)
1.37088176616484e+000	(-1.91037391490707e-003dB,-4.45056998112591e-004°)
1.37404197501251e+000	(-1.91037247648436e-003dB,-4.46082960530676e-004°)
1.37720946889394e+000	(-1.91037103136872e-003dB,-4.47111288008797e-004°)
1.38038426460288e+000	(-1.91036957962380e-003dB,-4.48141986014416e-004°)
1.38356637897177e+000	(-1.91036812114060e-003dB,-4.49175060083306e-004°)
1.38675582887188e+000	(-1.91036665594228e-003dB,-4.50210515590015e-004°)
1.38995263121334e+000	(-1.91036518398253e-003dB,-4.51248358066754e-004°)
1.39315680294529e+000	(-1.91036370524304e-003dB,-4.52288592988562e-004°)
1.39636836105593e+000	(-1.91036221966593e-003dB,-4.53331225965498e-004°)
1.39958732257261e+000	(-1.91036072719718e-003dB,-4.54376262430119e-004°)
1.40281370456195e+000	(-1.91035922788020e-003dB,-4.55423707944852e-004°)
1.40604752412990e+000	(-1.91035772165615e-003dB,-4.56473568036381e-004°)
1.40928879842186e+000	(-1.91035620845945e-003dB,-4.57525848377544e-004°)
1.41253754462274e+000	(-1.91035468827369e-003dB,-4.58580554462085e-004°)
1.41579377995707e+000	(-1.91035316107862e-003dB,-4.59637691837362e-004°)
1.41905752168908e+000	(-1.91035162683084e-003dB,-4.60697266214757e-004°)
1.42232878712281e+000	(-1.91035008547827e-003dB,-4.61759283186916e-004°)
1.42560759360218e+000	(-1.91034853703922e-003dB,-4.62823748325049e-004°)
1.42889395851109e+000	(-1.91034698145197e-003dB,-4.63890667302829e-004°)
1.43218789927353e+000	(-1.91034541867697e-003dB,-4.64960045790368e-004°)
1.43548943335364e+000	(-1.91034384868721e-003dB,-4.66031889457778e-004°)
1.43879857825583e+000	(-1.91034227145955e-003dB,-4.67106203984713e-004°)
1.44211535152486e+000	(-1.91034068693611e-003dB,-4.68182995054009e-004°)
1.44543977074592e+000	(-1.91033909509664e-003dB,-4.69262268411656e-004°)
1.44877185354475e+000	(-1.91033749592474e-003dB,-4.70344029720649e-004°)
1.45211161758773e+000	(-1.91033588935193e-003dB,-4.71428284736522e-004°)
1.45545908058195e+000	(-1.91033427539846e-003dB,-4.72515039204886e-004°)
1.45881426027534e+000	(-1.91033265397367e-003dB,-4.73604298996456e-004°)
1.46217717445671e+000	(-1.91033102506983e-003dB,-4.74696069700393e-004°)
1.46554784095590e+000	(-1.91032938862523e-003dB,-4.75790357214825e-004°)
1.46892627764385e+000	(-1.91032774466397e-003dB,-4.76887167328681e-004°)
1.47231250243271e+000	(-1.91032609310022e-003dB,-4.77986505874584e-004°)
1.47570653327588e+000	(-1.91032443389055e-003dB,-4.79088378631544e-004°)
1.47910838816819e+000	(-1.91032276709093e-003dB,-4.80192791430216e-004°)
1.48251808514594e+000	(-1.91032109251325e-003dB,-4.81299750231506e-004°)
1.48593564228699e+000	(-1.91031941023277e-003dB,-4.82409260828357e-004°)
1.48936107771090e+000	(-1.91031772022343e-003dB,-4.83521329098298e-004°)
1.49279440957898e+000	(-1.91031602236081e-003dB,-4.84635960977248e-004°)
1.49623565609442e+000	(-1.91031431669795e-003dB,-4.85753162256179e-004°)
1.49968483550236e+000	(-1.91031260314710e-003dB,-4.86872939036624e-004°)
1.50314196609001e+000	(-1.91031088170438e-003dB,-4.87995297190584e-004°)
1.50660706618673e+000	(-1.91030915230421e-003dB,-4.89120242580144e-004°)
1.51008015416413e+000	(-1.91030741489643e-003dB,-4.90247781260794e-004°)
1.51356124843619e+000	(-1.91030566950998e-003dB,-4.91377919174051e-004°)
1.51705036745932e+000	(-1.91030391603587e-003dB,-4.92510662389720e-004°)
1.52054752973248e+000	(-1.91030215449242e-003dB,-4.93646016744894e-004°)
1.52405275379728e+000	(-1.91030038480150e-003dB,-4.94783988439246e-004°)
1.52756605823806e+000	(-1.91029860693901e-003dB,-4.95924583394079e-004°)
1.53108746168202e+000	(-1.91029682088661e-003dB,-4.97067807704640e-004°)
1.53461698279928e+000	(-1.91029502656714e-003dB,-4.98213667436793e-004°)
1.53815464030302e+000	(-1.91029322399217e-003dB,-4.99362168586130e-004°)
1.54170045294954e+000	(-1.91029141311349e-003dB,-5.00513317366256e-004°)
1.54525443953840e+000	(-1.91028959380956e-003dB,-5.01667119834333e-004°)
1.54881661891247e+000	(-1.91028776615850e-003dB,-5.02823582018132e-004°)
1.55238700995807e+000	(-1.91028593005325e-003dB,-5.03982710208731e-004°)
1.55596563160506e+000	(-1.91028408549574e-003dB,-5.05144510397785e-004°)
1.55955250282694e+000	(-1.91028223240880e-003dB,-5.06308988837068e-004°)
1.56314764264094e+000	(-1.91028037075194e-003dB,-5.07476151698540e-004°)
1.56675107010813e+000	(-1.91027850052031e-003dB,-5.08646005135909e-004°)
1.57036280433354e+000	(-1.91027662166088e-003dB,-5.09818555333859e-004°)
1.57398286446620e+000	(-1.91027473410902e-003dB,-5.10993808541817e-004°)
1.57761126969933e+000	(-1.91027283788981e-003dB,-5.12171771030263e-004°)
1.58124803927037e+000	(-1.91027093285182e-003dB,-5.13352449007736e-004°)
1.58489319246110e+000	(-1.91026901905773e-003dB,-5.14535848726463e-004°)
1.58854674859776e+000	(-1.91026709641689e-003dB,-5.15721976445039e-004°)
1.59220872705115e+000	(-1.91026516491868e-003dB,-5.16910838460978e-004°)
1.59587914723672e+000	(-1.91026322448980e-003dB,-5.18102441065056e-004°)
1.59955802861465e+000	(-1.91026127513314e-003dB,-5.19296790622717e-004°)
1.60324539069002e+000	(-1.91025931674453e-003dB,-5.20493893435869e-004°)
1.60694125301286e+000	(-1.91025734935195e-003dB,-5.21693755885856e-004°)
1.61064563517825e+000	(-1.91025537283193e-003dB,-5.22896384285722e-004°)
1.61435855682647e+000	(-1.91025338722787e-003dB,-5.24101785050584e-004°)
1.61808003764305e+000	(-1.91025139242404e-003dB,-5.25309964543541e-004°)
1.62181009735891e+000	(-1.91024938842815e-003dB,-5.26520929125718e-004°)
1.62554875575047e+000	(-1.91024737518039e-003dB,-5.27734685325827e-004°)
1.62929603263970e+000	(-1.91024535266341e-003dB,-5.28951239519306e-004°)
1.63305194789432e+000	(-1.91024332077786e-003dB,-5.30170598182467e-004°)
1.63681652142779e+000	(-1.91024127954013e-003dB,-5.31392767687190e-004°)
1.64058977319952e+000	(-1.91023922886534e-003dB,-5.32617754662296e-004°)
1.64437172321491e+000	(-1.91023716871396e-003dB,-5.33845565461418e-004°)
1.64816239152549e+000	(-1.91023509908887e-003dB,-5.35076206639922e-004°)
1.65196179822900e+000	(-1.91023301987432e-003dB,-5.36309684835795e-004°)
1.65576996346951e+000	(-1.91023093109251e-003dB,-5.37546006389190e-004°)
1.65958690743754e+000	(-1.91022883264987e-003dB,-5.38785178066373e-004°)
1.66341265037015e+000	(-1.91022672452133e-003dB,-5.40027206288526e-004°)
1.66724721255104e+000	(-1.91022460667698e-003dB,-5.41272097605109e-004°)
1.67109061431069e+000	(-1.91022247904352e-003dB,-5.42519858788374e-004°)
1.67494287602642e+000	(-1.91022034159297e-003dB,-5.43770496348480e-004°)
1.67880401812254e+000	(-1.91021819427422e-003dB,-5.45024016873434e-004°)
1.68267406107045e+000	(-1.91021603706026e-003dB,-5.46280427076345e-004°)
1.68655302538872e+000	(-1.91021386984403e-003dB,-5.47539733691373e-004°)
1.69044093164324e+000	(-1.91021169267181e-003dB,-5.48801943177487e-004°)
1.69433780044731e+000	(-1.91020950544428e-003dB,-5.50067062421361e-004°)
1.69824365246172e+000	(-1.91020730807557e-003dB,-5.51335098114295e-004°)
1.70215850839493e+000	(-1.91020510063322e-003dB,-5.52606056839981e-004°)
1.70608238900310e+000	(-1.91020288294456e-003dB,-5.53879945435871e-004°)
1.71001531509027e+000	(-1.91020065504625e-003dB,-5.55156770755319e-004°)
1.71395730750840e+000	(-1.91019841686112e-003dB,-5.56436539335979e-004°)
1.71790838715757e+000	(-1.91019616835157e-003dB,-5.57719258143202e-004°)
1.72186857498599e+000	(-1.91019390944428e-003dB,-5.59004933982715e-004°)
1.72583789199018e+000	(-1.91019164014215e-003dB,-5.60293573515299e-004°)
1.72981635921508e+000	(-1.91018936033907e-003dB,-5.61585183697601e-004°)
1.73380399775412e+000	(-1.91018707000708e-003dB,-5.62879771393354e-004°)
1.73780082874935e+000	(-1.91018476912882e-003dB,-5.64177343350727e-004°)
1.74180687339159e+000	(-1.91018245759722e-003dB,-5.65477906587557e-004°)
1.74582215292048e+000	(-1.91018013544122e-003dB,-5.66781467871098e-004°)
1.74984668862464e+000	(-1.91017780251131e-003dB,-5.68088034264472e-004°)
1.75388050184174e+000	(-1.91017545888079e-003dB,-5.69397612497220e-004°)
1.75792361395867e+000	(-1.91017310437510e-003dB,-5.70710209719853e-004°)
1.76197604641161e+000	(-1.91017073901930e-003dB,-5.72025832728252e-004°)
1.76603782068614e+000	(-1.91016836272852e-003dB,-5.73344488584780e-004°)
1.77010895831740e+000	(-1.91016597549889e-003dB,-5.74666184239421e-004°)
1.77418948089014e+000	(-1.91016357725326e-003dB,-5.75990926718418e-004°)
1.77827941003890e+000	(-1.91016116792217e-003dB,-5.77318723090117e-004°)
1.78237876744807e+000	(-1.91015874746609e-003dB,-5.78649580308897e-004°)
1.78648757485203e+000	(-1.91015631586475e-003dB,-5.79983505480057e-004°)
1.79060585403527e+000	(-1.91015387299277e-003dB,-5.81320505640596e-004°)
1.79473362683250e+000	(-1.91015141889259e-003dB,-5.82660587910125e-004°)
1.79887091512876e+000	(-1.91014895341566e-003dB,-5.84003759444003e-004°)
1.80301774085955e+000	(-1.91014647658803e-003dB,-5.85350027293160e-004°)
1.80717412601090e+000	(-1.91014398833157e-003dB,-5.86699398562140e-004°)
1.81134009261958e+000	(-1.91014148856526e-003dB,-5.88051880504823e-004°)
1.81551566277311e+000	(-1.91013897729779e-003dB,-5.89407480210683e-004°)
1.81970085860996e+000	(-1.91013645445294e-003dB,-5.90766204894297e-004°)
1.82389570231961e+000	(-1.91013391990727e-003dB,-5.92128061792885e-004°)
1.82810021614272e+000	(-1.91013137368777e-003dB,-5.93493058045598e-004°)
1.83231442237119e+000	(-1.91012881570090e-003dB,-5.94861200988556e-004°)
1.83653834334832e+000	(-1.91012624591191e-003dB,-5.96232497786735e-004°)
1.84077200146893e+000	(-1.91012366427839e-003dB,-5.97606955785415e-004°)
1.84501541917945e+000	(-1.91012107070965e-003dB,-5.98984582227421e-004°)
1.84926861897805e+000	(-1.91011846517773e-003dB,-6.00365384462428e-004°)
1.85353162341479e+000	(-1.91011584762282e-003dB,-6.01749369763851e-004°)
1.85780445509167e+000	(-1.91011321799188e-003dB,-6.03136545443655e-004°)
1.86208713666284e+000	(-1.91011057621642e-003dB,-6.04526918899979e-004°)
1.86637969083464e+000	(-1.91010792225401e-003dB,-6.05920497509532e-004°)
1.87068214036577e+000	(-1.91010525605737e-003dB,-6.07317288639103e-004°)
1.87499450806739e+000	(-1.91010257750499e-003dB,-6.08717299743252e-004°)
1.87931681680324e+000	(-1.91009988661807e-003dB,-6.10120538157414e-004°)
1.88364908948977e+000	(-1.91009718328860e-003dB,-6.11527011459278e-004°)
1.88799134909627e+000	(-1.91009446750210e-003dB,-6.12936726896140e-004°)
1.89234361864495e+000	(-1.91009173920456e-003dB,-6.14349692131485e-004°)
1.89670592121112e+000	(-1.91008899825708e-003dB,-6.15765914613966e-004°)
1.90107827992327e+000	(-1.91008624469342e-003dB,-6.17185401785493e-004°)
1.90546071796322e+000	(-1.91008347842389e-003dB,-6.18608161217850e-004°)
1.90985325856621e+000	(-1.91008069938096e-003dB,-6.20034200433975e-004°)
1.91425592502106e+000	(-1.91007790748457e-003dB,-6.21463527023148e-004°)
1.91866874067026e+000	(-1.91007510272605e-003dB,-6.22896148597283e-004°)
1.92309172891013e+000	(-1.91007228502535e-003dB,-6.24332072660694e-004°)
1.92752491319091e+000	(-1.91006945429853e-003dB,-6.25771306872176e-004°)
1.93196831701690e+000	(-1.91006661053404e-003dB,-6.27213858854398e-004°)
1.93642196394658e+000	(-1.91006375361901e-003dB,-6.28659736356727e-004°)
1.94088587759275e+000	(-1.91006088351294e-003dB,-6.30108946863255e-004°)
1.94536008162263e+000	(-1.91005800017340e-003dB,-6.31561498153939e-004°)
1.94984459975802e+000	(-1.91005510351934e-003dB,-6.33017397907490e-004°)
1.95433945577537e+000	(-1.91005219352957e-003dB,-6.34476653851462e-004°)
1.95884467350596e+000	(-1.91004927006035e-003dB,-6.35939273797621e-004°)
1.96336027683602e+000	(-1.91004633312520e-003dB,-6.37405265359174e-004°)
1.96788628970682e+000	(-1.91004338260355e-003dB,-6.38874636425730e-004°)
1.97242273611482e+000	(-1.91004041848961e-003dB,-6.40347394753093e-004°)
1.97696964011183e+000	(-1.91003744068017e-003dB,-6.41823548083963e-004°)
1.98152702580507e+000	(-1.91003444913858e-003dB,-6.43303104317115e-004°)
1.98609491735734e+000	(-1.91003144378093e-003dB,-6.44786071318381e-004°)
1.99067333898716e+000	(-1.91002842453777e-003dB,-6.46272456924215e-004°)
1.99526231496885e+000	(-1.91002539138305e-003dB,-6.47762268983789e-004°)
1.99986186963271e+000	(-1.91002234421069e-003dB,-6.49255515323635e-004°)
2.00447202736513e+000	(-1.91001928300717e-003dB,-6.50752204052668e-004°)
2.00909281260870e+000	(-1.91001620760852e-003dB,-6.52252343009768e-004°)
2.01372424986236e+000	(-1.91001311807743e-003dB,-6.53755940108473e-004°)
2.01836636368153e+000	(-1.91001001425091e-003dB,-6.55263003372737e-004°)
2.02301917867824e+000	(-1.91000689610194e-003dB,-6.56773540809853e-004°)
2.02768271952125e+000	(-1.91000376358520e-003dB,-6.58287560358806e-004°)
2.03235701093619e+000	(-1.91000061657046e-003dB,-6.59805070072175e-004°)
2.03704207770569e+000	(-1.90999745505676e-003dB,-6.61326078012079e-004°)
2.04173794466950e+000	(-1.90999427891003e-003dB,-6.62850592250178e-004°)
2.04644463672464e+000	(-1.90999108817175e-003dB,-6.64378620874035e-004°)
2.05116217882553e+000	(-1.90998788264708e-003dB,-6.65910171997418e-004°)
2.05589059598411e+000	(-1.90998466236207e-003dB,-6.67445253658666e-004°)
2.06062991326997e+000	(-1.90998142719517e-003dB,-6.68983874062114e-004°)
2.06538015581050e+000	(-1.90997817710878e-003dB,-6.70526041229446e-004°)
2.07014134879101e+000	(-1.90997491199390e-003dB,-6.72071763693044e-004°)
2.07491351745488e+000	(-1.90997163182256e-003dB,-6.73621049311779e-004°)
2.07969668710366e+000	(-1.90996833653592e-003dB,-6.75173906376616e-004°)
2.08449088309726e+000	(-1.90996502602113e-003dB,-6.76730343172163e-004°)
2.08929613085401e+000	(-1.90996170020778e-003dB,-6.78290367963185e-004°)
2.09411245585086e+000	(-1.90995835903799e-003dB,-6.79853988988248e-004°)
2.09893988362349e+000	(-1.90995500247995e-003dB,-6.81421214439872e-004°)
2.10377843976644e+000	(-1.90995163042465e-003dB,-6.82992052705959e-004°)
2.10862814993326e+000	(-1.90994824278432e-003dB,-6.84566512229231e-004°)
2.11348903983661e+000	(-1.90994483951267e-003dB,-6.86144601185552e-004°)
2.11836113524847e+000	(-1.90994142053541e-003dB,-6.87726328098675e-004°)
2.12324446200018e+000	(-1.90993798577155e-003dB,-6.89311701270776e-004°)
2.12813904598268e+000	(-1.90993453515451e-003dB,-6.90900728968288e-004°)
2.13304491314654e+000	(-1.90993106863607e-003dB,-6.92493419892922e-004°)
2.13796208950220e+000	(-1.90992758608795e-003dB,-6.94089782255529e-004°)
2.14289060112002e+000	(-1.90992408748025e-003dB,-6.95689824672854e-004°)
2.14783047413050e+000	(-1.90992057272809e-003dB,-6.97293555556727e-004°)
2.15278173472434e+000	(-1.90991704171090e-003dB,-6.98900983494514e-004°)
2.15774440915263e+000	(-1.90991349443158e-003dB,-7.00512116825798e-004°)
2.16271852372698e+000	(-1.90990993077341e-003dB,-7.02126964254717e-004°)
2.16770410481966e+000	(-1.90990635065731e-003dB,-7.03745534276552e-004°)
2.17270117886371e+000	(-1.90990275402828e-003dB,-7.05367835585137e-004°)
2.17770977235312e+000	(-1.90989914080533e-003dB,-7.06993876519306e-004°)
2.18272991184296e+000	(-1.90989551088426e-003dB,-7.08623665961151e-004°)
2.18776162394952e+000	(-1.90989186422169e-003dB,-7.10257212444119e-004°)
2.19280493535041e+000	(-1.90988820072983e-003dB,-7.11894524631911e-004°)
2.19785987278479e+000	(-1.90988452031223e-003dB,-7.13535611210487e-004°)
2.20292646305342e+000	(-1.90988082291681e-003dB,-7.15180480963498e-004°)
2.20800473301886e+000	(-1.90987710842975e-003dB,-7.16829142462560e-004°)
2.21309470960560e+000	(-1.90987337683080e-003dB,-7.18481604519946e-004°)
2.21819641980018e+000	(-1.90986962800903e-003dB,-7.20137875882807e-004°)
2.22330989065136e+000	(-1.90986586186895e-003dB,-7.21797965392044e-004°)
2.22843514927026e+000	(-1.90986207834691e-003dB,-7.23461881771785e-004°)
